iteration,status,pshed_lower,pshed_upper,max_delta_w,mean_delta_w,w_min,w_max,jac_max,jac_nnz,n_pshed_zero,n_pshed_total
1,OPTIMAL,42772.99447775895,43071.22490201067,0.0,0.0,4.5,5.5,30.003562970438423,2025,0,135
2,OPTIMAL,43070.89282065815,43383.04160560412,0.0,0.0,4.0,6.000000203972169,30.003564466217195,2025,0,135
3,OPTIMAL,43382.71395278544,43694.865372821616,0.0,0.0,3.5,6.500000203972169,30.003562772427653,2025,0,135
4,OPTIMAL,43694.51869998962,44006.669965067435,0.0,0.0,3.0,7.000000203972169,30.00359197803332,2025,0,135
5,OPTIMAL,44006.333064918595,44267.108339771425,0.0,0.0,2.5,7.500000203972169,30.00356003109529,2025,0,135
