case,fair_func,period,load_id,weight
motivation_c,jain,0,5,2.5000004893736825
motivation_c,jain,0,12,2.5000024780893293
motivation_c,jain,0,8,2.500000301241746
motivation_c,jain,0,1,2.500000401310359
motivation_c,jain,0,6,2.5000002419402225
motivation_c,jain,0,11,2.500000593862552
motivation_c,jain,0,9,2.5000005938629957
motivation_c,jain,0,14,2.5000031037920167
motivation_c,jain,0,3,7.50000016170677
motivation_c,jain,0,7,2.5000005692730363
motivation_c,jain,0,4,2.5000013432412214
motivation_c,jain,0,13,2.500000174482834
motivation_c,jain,0,15,2.500000569319055
motivation_c,jain,0,2,2.500011364955285
motivation_c,jain,0,10,2.5000006696367363
motivation_c,jain,1,5,2.5000004299369984
motivation_c,jain,1,12,2.500002227730578
motivation_c,jain,1,8,2.500000258829848
motivation_c,jain,1,1,2.500000349656629
motivation_c,jain,1,6,2.5000002065228752
motivation_c,jain,1,11,2.5000005250367794
motivation_c,jain,1,9,2.5000005250372674
motivation_c,jain,1,14,2.500002812016732
motivation_c,jain,1,3,7.500000177547154
motivation_c,jain,1,7,2.5000005022310687
motivation_c,jain,1,4,2.5000011879321855
motivation_c,jain,1,13,2.500000144845967
motivation_c,jain,1,15,2.50000050227303
motivation_c,jain,1,2,2.5000103178228974
motivation_c,jain,1,10,2.5000005944923087
motivation_c,jain,2,5,2.500000376794908
motivation_c,jain,2,12,2.5000020113676404
motivation_c,jain,2,8,2.5000002208555534
motivation_c,jain,2,1,2.5000003034914293
motivation_c,jain,2,6,2.5000001743534406
motivation_c,jain,2,11,2.500000463519776
motivation_c,jain,2,9,2.500000463520298
motivation_c,jain,2,14,2.500002550758662
motivation_c,jain,2,3,7.500000191347114
motivation_c,jain,2,7,2.5000004424121984
motivation_c,jain,2,4,2.5000010540392954
motivation_c,jain,2,13,2.500000117913731
motivation_c,jain,2,15,2.5000004424505318
motivation_c,jain,2,2,2.50000941293351
motivation_c,jain,2,10,2.500000527206432
motivation_c,jain,3,5,2.500000338731897
motivation_c,jain,3,12,2.5000018596776123
motivation_c,jain,3,8,2.5000001936333613
motivation_c,jain,3,1,2.500000270433027
motivation_c,jain,3,6,2.500000151098164
motivation_c,jain,3,11,2.500000419467063
motivation_c,jain,3,9,2.500000419467608
motivation_c,jain,3,14,2.500002363470801
motivation_c,jain,3,3,7.500000201081911
motivation_c,jain,3,7,2.500000399619245
motivation_c,jain,3,4,2.5000009601626947
motivation_c,jain,3,13,2.5000000984387416
motivation_c,jain,3,15,2.5000003996549705
motivation_c,jain,3,2,2.5000087792359347
motivation_c,jain,3,10,2.5000004789710557
motivation_c,jain,4,5,2.5000003187333513
motivation_c,jain,4,12,2.5000017809359116
motivation_c,jain,4,8,2.500000179323372
motivation_c,jain,4,1,2.500000253066419
motivation_c,jain,4,6,2.5000001388119797
motivation_c,jain,4,11,2.5000003963241224
motivation_c,jain,4,9,2.5000003963246793
motivation_c,jain,4,14,2.5000022650167146
motivation_c,jain,4,3,7.500000206151026
motivation_c,jain,4,7,2.5000003771520682
motivation_c,jain,4,4,2.500000911471775
motivation_c,jain,4,13,2.5000000881479214
motivation_c,jain,4,15,2.5000003771864225
motivation_c,jain,4,2,2.5000084503964923
motivation_c,jain,4,10,2.500000453614388
motivation_c,jain,5,5,2.5000003187333513
motivation_c,jain,5,12,2.5000017809359116
motivation_c,jain,5,8,2.500000179323372
motivation_c,jain,5,1,2.500000253066419
motivation_c,jain,5,6,2.5000001388119797
motivation_c,jain,5,11,2.5000003963241224
motivation_c,jain,5,9,2.5000003963246793
motivation_c,jain,5,14,2.5000022650167146
motivation_c,jain,5,3,7.500000206151026
motivation_c,jain,5,7,2.5000003771520682
motivation_c,jain,5,4,2.500000911471775
motivation_c,jain,5,13,2.5000000881479214
motivation_c,jain,5,15,2.5000003771864225
motivation_c,jain,5,2,2.5000084503964923
motivation_c,jain,5,10,2.500000453614388
motivation_c,jain,6,5,2.500000338731897
motivation_c,jain,6,12,2.5000018596776123
motivation_c,jain,6,8,2.5000001936333613
motivation_c,jain,6,1,2.500000270433027
motivation_c,jain,6,6,2.500000151098164
motivation_c,jain,6,11,2.500000419467063
motivation_c,jain,6,9,2.500000419467608
motivation_c,jain,6,14,2.500002363470801
motivation_c,jain,6,3,7.500000201081911
motivation_c,jain,6,7,2.500000399619245
motivation_c,jain,6,4,2.5000009601626947
motivation_c,jain,6,13,2.5000000984387416
motivation_c,jain,6,15,2.5000003996549705
motivation_c,jain,6,2,2.5000087792359347
motivation_c,jain,6,10,2.5000004789710557
motivation_c,jain,7,5,2.500000376794908
motivation_c,jain,7,12,2.5000020113676404
motivation_c,jain,7,8,2.5000002208555534
motivation_c,jain,7,1,2.5000003034914293
motivation_c,jain,7,6,2.5000001743534406
motivation_c,jain,7,11,2.500000463519776
motivation_c,jain,7,9,2.500000463520298
motivation_c,jain,7,14,2.500002550758662
motivation_c,jain,7,3,7.500000191347114
motivation_c,jain,7,7,2.5000004424121984
motivation_c,jain,7,4,2.5000010540392954
motivation_c,jain,7,13,2.500000117913731
motivation_c,jain,7,15,2.5000004424505318
motivation_c,jain,7,2,2.50000941293351
motivation_c,jain,7,10,2.500000527206432
motivation_c,jain,8,5,2.5000004299369984
motivation_c,jain,8,12,2.500002227730578
motivation_c,jain,8,8,2.500000258829848
motivation_c,jain,8,1,2.500000349656629
motivation_c,jain,8,6,2.5000002065228752
motivation_c,jain,8,11,2.5000005250367794
motivation_c,jain,8,9,2.5000005250372674
motivation_c,jain,8,14,2.500002812016732
motivation_c,jain,8,3,7.500000177547154
motivation_c,jain,8,7,2.5000005022310687
motivation_c,jain,8,4,2.5000011879321855
motivation_c,jain,8,13,2.500000144845967
motivation_c,jain,8,15,2.50000050227303
motivation_c,jain,8,2,2.5000103178228974
motivation_c,jain,8,10,2.5000005944923087
