iteration,status,pshed_lower,pshed_upper,max_delta_w,mean_delta_w,w_min,w_max,jac_max,jac_nnz,n_pshed_zero,n_pshed_total
1,LOCALLY_SOLVED,49011.79451985637,48232.55772733335,0.0,0.0,5.500000042868071,5.500000054119367,30.003560456750165,2025,0,135
2,LOCALLY_SOLVED,48232.546530262545,47453.31047935123,0.0,0.0,6.00000008963032,6.00000011315866,30.00355890185153,2025,0,135
3,LOCALLY_SOLVED,47453.30426477259,46674.068731456144,0.0,0.0,6.500000140287976,6.500000177117885,30.00355872883355,2025,0,135
4,LOCALLY_SOLVED,46674.07655422687,45894.84142351838,0.0,0.0,7.000000194843533,7.000000245997051,30.003559178355815,2025,0,135
5,LOCALLY_SOLVED,45894.83452163491,45115.599373323625,0.0,0.0,7.500000253301682,7.50000031979618,30.00356056641782,2025,0,135
