alpha,agg_total_shed,cost_weighted_shed,cost_weighted_max,gini_cost_weighted,gini_unweighted,gini_served_uncosted
0.0,125.89208621412547,1788.7435155269206,468.4011603452266,0.2947545672526368,0.29799337720734376,0.340978482849001
0.09090909090909091,127.30457949292114,1822.3870946292623,539.2830483666628,0.20528136671497355,0.24483844376343655,0.3189117977621796
0.18181818181818182,130.5898428129205,1900.8335839158588,571.0265065322898,0.1608518005613513,0.1894009242051784,0.32414403880259535
0.2727272727272727,132.20862962445943,1929.7526825152977,528.7526588968965,0.15258072336985862,0.1811358892365167,0.3276587341506658
0.36363636363636365,132.43128692512963,1934.5404771964636,578.8039399188244,0.14361261698585004,0.1695242060040132,0.33590885486174993
0.45454545454545453,137.04997540582727,2008.8440450078713,564.461223156425,0.12727154537396657,0.16362025025941307,0.34331556774476657
0.5454545454545454,135.574286510389,1975.7584568844125,567.870056647064,0.12917394497021983,0.15507847855056256,0.34140058457287226
0.6363636363636364,140.89496996202828,2008.1515742454426,563.7550566824856,0.11977465048658642,0.1709361210656617,0.3484007727913536
0.7272727272727273,141.2415254709331,2008.151574258253,584.3736802626142,0.11947041725859808,0.19338033926957277,0.34835826657352964
0.8181818181818182,144.9176585287974,2042.868622605757,547.8382154651821,0.11729852308634747,0.18067783899263623,0.34956075799831465
0.9090909090909091,148.55605144214965,2070.0153619806233,567.3825750801476,0.11624463337635338,0.20802345308781867,0.35042996399797355
1.0,160.00918819732792,2193.892731869941,714.7969807020568,0.11570723092988344,0.24761869311907514,0.3548151570503304
