load_id,efficiency,palma,min_max,equality_min,proportional
1,10.000000096639017,1.0,8.999967406126906,0.9999999931102834,10.000000097912961
2,9.000000597884043,10.0,3.0001039081609506,1.000000021579584,10.000000089442295
3,10.000000099883266,10.0,10.000000099996969,10.000000099991055,8.301227708002406
4,9.000000607821539,10.0,3.000014772894295,0.999999994372656,10.000000098553878
5,9.50000000492377,1.0,1.000000818894445,0.9999999936494608,9.486529071595566
6,10.00000009997494,5.9351069703804775,10.000000086035904,0.9999999920709202,10.000000097495032
7,10.00000009994867,5.486580442469417,10.00000008721177,0.999999993813317,10.000000097493677
8,9.000002265679612,1.0,6.000005608480033,0.9999999927093274,9.000094733399521
9,10.000000095112025,1.0,8.999956368172425,0.9999999941479781,10.00000009721624
10,9.000004801854008,1.0,6.000009684262907,0.999999994803798,9.000163691712464
11,10.000000094889602,1.0,8.999956137378097,0.9999999941479484,10.000000097216246
12,9.000000607338766,10.0,3.0000269340437486,0.9999999973767106,10.000000097550231
13,6.000000530690181,2.943443884054189,1.000000505434573,0.999999991888952,7.000023744110144
14,9.000041245368445,1.0,6.0000364999075,1.0000000086491232,9.00063775164979
15,94.00336119525181,99.99984378714107,54.960684489520006,99.99988955057707,96.78827092755894
