bus_id,vm_avg,z_voltage
1,0.9995613505093296,1.0
2,0.9995613614090363,1.0
3,0.9986380501200202,1.0
4,0.9995294722002616,1.0
5,1.0003528296394884,1.0
6,1.014889156509222,1.0
7,0.9995534626121724,1.0
8,1.0011500175352575,1.0
9,1.0011500175352575,1.0
10,1.0011500175352575,1.0
11,0.9995534619999802,1.0
12,0.9995613505093296,1.0
13,0.9995613505093296,1.0
14,1.000406415864494,1.0
15,0.9995613505093296,1.0
16,1.0011500175352575,1.0
17,0.9995534626121724,1.0
18,0.9995613505093296,1.0
19,1.0011500175352575,1.0
20,1.0003528296394884,1.0
