FairnessFunction,Lower_Level_Load_Shed,Upper_Level_Load_Shed
proportional,1374.7761350633562,1342.853487021973
efficiency,1374.7761350633562,1328.4113891881477
min_max,1374.7761350633562,1353.6129360342832
jain,1374.7761350633562,1362.6468041391472
equality_min,1374.7761350633562,1359.7083706611102
