alpha,period,lambda,total_shed,max_shed
0.0,1,5.0,3.7194667816779674,1.5485639381911618
0.0,2,5.0,2.119860361692936,0.89904058008789
0.0,3,5.0,1.436365712670679,0.537254835509307
0.0,4,5.0,1.774925519235012,0.626882279732564
0.0,5,5.0,3.836117702813877,1.1463802886291925
0.0,6,5.0,8.202273563964287,1.6643208983476647
0.0,7,5.0,12.488687161887224,7.571966436718768
0.0,8,5.0,15.810550095665274,3.1596902968645555
0.0,9,5.01,19.306200873332532,4.659792581535024
0.0,10,5.04,21.60587455681496,6.1274693959270685
0.0,11,5.15,23.369255444253593,6.708796133175051
0.0,12,5.5,24.35265566202823,6.5419790720071385
0.0,13,6.4,24.51270595554669,6.327538618948621
0.0,14,8.38,23.577478987492153,6.417584073183809
0.0,15,11.95,22.631750690947715,7.87306321697141
0.0,16,17.17,21.832997578439567,7.313101676187904
0.0,17,23.15,21.50783139060958,9.660776952643054
0.0,18,28.08,22.589782432550283,4.998279345836496
0.0,19,30.0,21.128764462437097,4.316489587085853
0.0,20,28.08,18.86126896772993,4.238533261523633
0.0,21,23.15,14.814023304762348,3.6858238129159595
0.0,22,17.17,10.33372291900482,3.0950074096856275
0.0,23,11.95,7.611163701095313,2.67180368091391
0.0,24,8.38,5.090753633475363,2.025385327788084
0.09090909090909091,1,5.0,4.483559919876308,1.495451832807631
0.09090909090909091,2,5.0,2.4896855689681177,0.8649947694307158
0.09090909090909091,3,5.0,1.5824316457120748,0.7224781300142684
0.09090909090909091,4,5.0,1.8226928246284027,0.6145177652502938
0.09090909090909091,5,5.0,3.8860114804605024,1.1985354489096005
0.09090909090909091,6,5.0,8.25682089268057,1.768610409765941
0.09090909090909091,7,5.0,12.496867604007653,7.4143160529442955
0.09090909090909091,8,5.0,16.300120168189657,4.322282024547677
0.09090909090909091,9,5.01,20.07432657038041,5.730794672423123
0.09090909090909091,10,5.04,22.801675262489077,6.226894591507772
0.09090909090909091,11,5.15,24.664738184563213,7.78089718046356
0.09090909090909091,12,5.5,25.622358465197497,8.183500147519847
0.09090909090909091,13,6.4,27.18872489887293,7.861000690760511
0.09090909090909091,14,8.38,26.78389097668717,7.10575729959748
0.09090909090909091,15,11.95,24.94914386076799,6.940381713583328
0.09090909090909091,16,17.17,24.719393879808884,8.016561928959455
0.09090909090909091,17,23.15,24.460511545021085,9.969739772130268
0.09090909090909091,18,28.08,24.081901006399818,7.325956006453824
0.09090909090909091,19,30.0,23.436961507757132,7.5038746420637565
0.09090909090909091,20,28.08,20.555567873612542,7.145013855079288
0.09090909090909091,21,23.15,16.20211417927209,6.73838579487315
0.09090909090909091,22,17.17,11.566448174397404,6.203114093335593
0.09090909090909091,23,11.95,9.16141553586356,5.914290763701562
0.09090909090909091,24,8.38,6.440771943228327,3.257202419194236
0.18181818181818182,1,5.0,4.4833029084958405,1.4954518328084934
0.18181818181818182,2,5.0,2.4896855689677273,0.8649947694303801
0.18181818181818182,3,5.0,3.4734549694845303,3.473451731338951
0.18181818181818182,4,5.0,4.784730326972561,4.472843568001613
0.18181818181818182,5,5.0,7.199314663186971,5.050750657355785
0.18181818181818182,6,5.0,10.826579872110209,5.7670741022616205
0.18181818181818182,7,5.0,14.540843885556836,6.973424422655203
0.18181818181818182,8,5.0,17.267022309969438,6.590949351409845
0.18181818181818182,9,5.01,21.317261722748647,6.583999843465172
0.18181818181818182,10,5.04,25.24515657445623,7.112020110859502
0.18181818181818182,11,5.15,26.331548878983384,7.446365105394602
0.18181818181818182,12,5.5,27.024017529628278,7.764947841521616
0.18181818181818182,13,6.4,27.188724898882406,7.861000690760756
0.18181818181818182,14,8.38,25.956047002732728,6.86031762841111
0.18181818181818182,15,11.95,24.949092638891337,6.940330448306156
0.18181818181818182,16,17.17,24.471839530726427,7.003724484354738
0.18181818181818182,17,23.15,26.31685003338056,8.167492216594589
0.18181818181818182,18,28.08,24.386174073947195,7.427780394299422
0.18181818181818182,19,30.0,28.86262457865012,9.289635741202314
0.18181818181818182,20,28.08,25.80234405507988,8.914791598111375
0.18181818181818182,21,23.15,19.671275024191896,7.939401323766033
0.18181818181818182,22,17.17,11.593241826260403,6.212819697459997
