case,fair_func,period,n_feasible_samples,total_load_shed,best_mld_obj,any_ac_feasible
motivation_c,palma,4,2,3592.599999418479,220.00002002077912,true
motivation_c,palma,1,2,2449.500000211744,150.00000755268994,true
motivation_c,palma,2,2,2939.399999586501,180.0000157577003,true
motivation_c,palma,6,2,3919.1999993712666,240.00002203573794,true
motivation_c,palma,11,2,3592.599999418479,220.00002002077912,true
motivation_c,palma,5,2,3919.1999993712666,240.00002203573794,true
motivation_c,palma,7,2,3755.899999381201,230.00002103985315,true
motivation_c,palma,8,2,3429.3000002777717,210.00002826651598,true
motivation_c,palma,10,2,3265.9999995008616,200.00001790919544,true
motivation_c,palma,0,2,1959.6000002037265,120.00000571112221,true
motivation_c,palma,9,2,3102.700000189922,190.0000103671936,true
motivation_c,palma,3,2,3265.9999995008616,200.00001790919544,true
motivation_c,efficiency,4,2,2263.7621987754324,15488.378167010898,true
motivation_c,efficiency,1,2,1172.8845517841407,14266.15462467644,true
motivation_c,efficiency,2,2,1627.2986236469949,14921.013912590039,true
motivation_c,efficiency,6,2,2635.9781840080936,15232.218312117937,true
motivation_c,efficiency,11,2,2263.7621987754324,15488.378167010898,true
motivation_c,efficiency,5,2,2635.9781840080936,15232.218312117937,true
motivation_c,efficiency,7,2,2478.752084564063,15071.47930495336,true
motivation_c,efficiency,8,2,2108.326847272185,15309.731680259423,true
motivation_c,efficiency,10,2,1934.0262686846204,15319.73746620491,true
motivation_c,efficiency,0,2,722.7787587259851,13568.212548294323,true
motivation_c,efficiency,9,2,1780.6612293252786,15120.387857802885,true
motivation_c,efficiency,3,2,1934.0262686846204,15319.73746620491,true
