load_id,proportional,efficiency,min_max,equality_min,jain
1,1.0099999899999998,1.000144986537079,5.49046241663118,1.000006763283844,2.3814306753838452
2,1.0099999899999998,1.0174682283322651,5.252765964610047,4.07959196895245,10.499758463933434
3,1.0099999899999998,1.0001545253872934,5.348336880714459,4.338587475224352,3.502526694497349
4,1.0099999899999998,1.0007832064828357,4.81453726631797,1.6512464138378857,1.22934425344469
5,1.0099999899999998,1.0002439442780329,5.335511450326266,2.1170097051646586,8.744218495555412
6,1.0099999899999998,1.0002516621757267,5.43646232388908,5.008741591958473,1.0001493091002285
7,1.0099999899999998,1.0007387301653645,5.308418171596347,1.00002626549152,1.0017466911717252
8,1.0099999899999998,1.000318798164344,5.080271838370498,1.0000276322764894,1.000488057531776
9,1.0099999899999998,1.0001944223827821,5.449619614695031,7.033641266187109,1.000698695882152
10,1.0099999899999998,1.0005866766779117,5.186613995052824,3.1363638488775396,10.496173043456507
11,1.0099999899999998,1.0001944222327828,5.449619823288504,1.5822844970605072,10.49891557971998
12,1.0099999899999998,1.001468049520383,5.025263798170908,6.774130873354257,10.499863125537098
13,1.0099999899999998,10.09997913359972,5.838040300950398,5.361615389397196,6.909104013180998
14,1.0099999899999998,1.0029539060870796,5.285528304576879,10.000499306156737,2.929617931272679
15,1.0099999899999998,1.000627779228105,5.330358126309615,6.918825160572316,1.0240963804111674
