load_id,proportional,efficiency,min_max,equality_min,jain
1,1.0099999899999998,1.0001924532315551,5.233595558055101,1.0000029695077355,7.702929204346255
2,1.0099999899999998,1.0025185105956465,5.315599961123884,4.332231674707509,10.499820435827546
3,1.0099999899999998,1.0001197436125238,6.218054384602778,4.4033729996566136,8.699658232234668
4,1.0099999899999998,1.000352890251518,5.296061757048555,1.6536759760564541,7.92971207689382
5,1.0099999899999998,1.000278174680652,4.966141716298558,1.731181076577198,10.485239373419722
6,1.0099999899999998,1.0002145760494943,5.111314669864261,5.230789596165909,1.0020639336352086
7,1.0099999899999998,1.000312338917809,5.191878460794857,1.0000137489406913,1.002240439275342
8,1.0099999899999998,1.0002801844245253,5.2919213373915746,1.0000338391456187,1.0042452883148523
9,1.0099999899999998,1.000256604189798,5.255026991351754,7.030333645294133,1.0055979052398063
10,1.0099999899999998,1.0004966856673274,5.304007481678398,3.3202419655465087,7.101427039481319
11,1.0099999899999998,1.0002566045722046,5.255026935468733,1.5000939259860844,10.499166335184535
12,1.0099999899999998,1.0005901683414222,5.304926026092122,6.769921015504862,10.499899315402493
13,1.0099999899999998,10.099866706497417,5.250173293055888,5.3598302023335345,9.34529564391043
14,1.0099999899999998,1.0019304894544117,5.3152180935243605,10.000499728527974,1.1107540824643478
15,1.0099999899999998,1.0015428087524103,5.238742205094146,6.9461712038793415,1.0020896563006603
