block_id,buses,demand_kw,served_kw,shed_kw,shed_pct
1,"634, 675, 692",1413.0,1368.9,44.1,3.1
2,"611, 645, 646, 652, 671",1853.0,1803.5,49.5,2.7
3,"670",200.0,200.0,-0.0,-0.0
TOTAL,"all",3466.0,3372.4,93.6,2.7
