Formulation,TotalServed_pct,TotalShed_kW,MaxBusShed_pct,ShedVariance_pct,JainsIndex,PalmaRatio,GiniCoeff,CV_Served
Efficiency,33.28,2312.54,100.0,1550.09,0.3902,Inf,0.6318,1.3259
Palma Ratio,35.05,2251.2,100.0,1445.61,0.5479,7.2951,0.4901,0.9635
