load_id,efficiency,proportional,equality_min,min_max,jain,palma
1,10.000000099936106,1.0099999899999998,0.9999999900131772,1.7919021543885647,1.0000009154899494,10.0
2,3.0000000700920593,1.0099999899999998,0.999999990139183,1.7970843839487323,1.0000537505777618,10.0
3,10.00000009997494,1.0099999899999998,31.77848001717351,4.537537378856349,9.775662365469605,10.0
4,3.0000000786257743,1.0099999899999998,14.202581802672801,1.7884979047509233,1.000025170924174,10.0
5,3.000000078305791,1.0099999899999998,12.55881888056368,1.7907993270750975,1.0000010478696368,10.0
6,10.000000099962424,1.0099999899999998,8.803368866052333,1.78984647783131,1.0000007824251687,10.0
7,10.000000099924879,1.0099999899999998,17.997582368183945,1.7987116831574996,1.000001236981159,10.0
8,3.0000005029331454,1.0099999899999998,10.000000099866982,1.7985215598160589,9.998905456912427,10.0
9,10.000000099914793,1.0099999899999998,0.9999999900098773,1.793546598517013,1.000001224333313,10.0
10,3.000001294077859,1.0099999899999998,10.000000099614597,1.7985133137756109,9.996856496000607,10.0
11,10.000000099914793,1.0099999899999998,8.04278158708832,1.7935337004987086,1.0000012243335958,10.0
12,3.0000000776920017,1.0099999899999998,0.9999999900437735,1.7925103077479374,1.0000533538272929,10.0
13,2.5000001507028395,1.0099999899999998,1.4999999936128994,1.7985180565994094,9.99990081423479,10.0
14,3.0000362839438215,1.0099999899999998,10.000000095367755,1.7985049903514139,9.932888961247317,10.0
15,3.0000000781249283,1.0099999899999998,9.026259822297337,1.7897481786201939,1.0000012370194489,10.0
