case,fair_func,total_demand,final_pshed,final_pd_served,pct_shed,pct_served,relaxed_pshed_final,objective
motivation_a,proportional,3466.0,1732.9999827568292,1733.0000172431703,49.99999950250517,50.00000049749481,1732.996738038304,1750.3300000856011
motivation_a,efficiency,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_a,min_max,3466.0,1732.999982761849,1733.000017238151,49.99999950265,50.00000049735001,1732.9975368415471,9342.87541587802
motivation_a,equality_min,3466.0,1735.3442050811186,1730.6557949188814,50.06763430701439,49.93236569298561,1732.9991084703106,7031.857834172164
motivation_a,jain,3466.0,1732.9999827458735,1733.0000172541265,49.99999950218908,50.00000049781092,1732.9989900956643,7535.877412800106
motivation_b,proportional,3466.0,1732.99998275683,1733.0000172431703,49.99999950250519,50.00000049749481,1732.9963426238646,1750.3300000856013
motivation_b,efficiency,3466.0,1732.999982799849,1733.0000172001508,49.999999503746366,50.00000049625363,1732.9989779638272,3280.5289399466014
motivation_b,min_max,3466.0,1732.9999827715203,1733.00001722848,49.99999950292903,50.00000049707097,1732.9983277155989,9963.865152286913
motivation_b,equality_min,3466.0,1742.117953067053,1723.882046932947,50.26306846702403,49.73693153297597,1732.9990529936626,6959.477700892585
motivation_b,jain,3466.0,1732.9999834894525,1733.0000165105475,49.99999952364259,50.0000004763574,1732.9993679645413,13516.837930269756
motivation_c,proportional,3466.0,1764.4454046143237,1701.5545953856763,50.90725345107685,49.09274654892315,1752.0997940915915,1718.570124323987
motivation_c,efficiency,3466.0,1860.4742726771915,1605.5257273228087,53.67784975987281,46.32215024012719,1750.259771461181,8339.775219313073
motivation_c,min_max,3466.0,1764.4466133495991,1701.5533866504009,50.907288325147114,49.09271167485288,1751.402684931154,9411.648196169908
motivation_c,equality_min,3466.0,1879.3648631658339,1586.6351368341664,54.22287545198598,45.77712454801403,1753.1994023945579,14832.460839788431
motivation_c,jain,3466.0,1897.649890401911,1568.350109598089,54.75042961344233,45.24957038655767,1756.3421696346309,15662.352340003541
