Formulation,TotalDemand,TotalShed,TotalServed,PercentServed,MaxShed,MinShed,ShedVariance,TerminationStatus,ObjectiveValue
Efficient (Relaxed),3466.0,1732.9999827536367,1733.0000172463633,50.00000049758694,335.8783926989731,0.0,8731.167070707885,LOCALLY_SOLVED,17330.00017246363
Efficient (Integer),3466.0,2050.0,1416.0,40.85401038661281,1155.0,0.0,99113.09523809525,OPTIMAL,14160.0
Equality Min (Relaxed),3466.0,1875.3223808389064,1590.6776191610936,45.89375704446317,232.94054447019283,0.0,6542.81917602468,LOCALLY_SOLVED,232.94054446111812
Equality Min (Integer),3466.0,3466.0,0.0,0.0,1155.0,0.0,77558.20952380954,OPTIMAL,1155.0
Prop Fair (Relaxed),3466.0,1824.2596195483939,1641.7403804516061,47.36700462930197,987.4946245263998,0.0,66232.05246842826,LOCALLY_SOLVED,69.0153044752203
Prop Fair (Integer),3466.0,2050.0,1416.0,40.85401038661281,1155.0,0.0,99113.09523809525,OPTIMAL,-3.6973219221724705
