bus_id,vm_avg,z_voltage
1,1.018534348158142,1.0
2,1.0185343592249232,1.0
3,1.0189479314348828,1.0
4,1.0166090712998526,1.0
5,1.0189479314348828,1.0
6,1.03,1.0
7,1.0176257824062451,1.0
8,1.0202340936331797,1.0
9,1.0202340936331797,1.0
10,1.0202340936331797,1.0
11,1.0178683217718516,1.0
12,1.018948216514965,1.0
13,1.018534348158142,1.0
14,1.0195064920152699,1.0
15,1.018948216514965,1.0
16,1.0202340936331797,1.0
17,1.0176257824062451,1.0
18,1.018534348158142,1.0
19,1.0202340936331797,1.0
20,1.0189479314348828,1.0
