load_id,efficiency,palma,min_max,equality_min,proportional
1,10.000000096344866,NaN,9.999999653052194,0.999999993111168,10.000000097913599
2,9.00000058971107,NaN,9.999997604602061,1.0000000216032985,10.00000008944564
3,10.000000099885323,NaN,10.000000099991647,10.000000099991055,8.481095401661722
4,9.00000059947771,NaN,9.999999751811645,0.9999999943758029,10.000000098554315
5,9.500000004919963,NaN,1.999994701463344,0.9999999936362702,10.000000096829837
6,10.00000009997494,NaN,9.999999859346833,0.9999999920748833,10.000000097494036
7,10.000000099949366,NaN,3.157493858499424,0.9999999938318354,10.000000097493373
8,9.000001818024225,NaN,6.002305477249203,0.99999999270953,9.000069277763815
9,10.000000094652643,NaN,9.99999950420538,0.9999999941491574,10.000000097217093
10,9.000003519211898,NaN,6.004911728326148,0.9999999948041572,9.000119701450103
11,10.000000094361555,NaN,9.999999504032193,0.9999999941491327,10.000000097217098
12,9.000000608944069,NaN,9.999999516078738,0.999999997382085,10.000000097550997
13,6.000000516195104,NaN,2.0000774940929,0.9999999918899639,7.000022826997354
14,9.000027215243636,NaN,6.038730162551925,1.0000000086505532,9.000466465504182
15,994.0945449559086,NaN,14.921047048464791,999.9998320169319,997.2225595274191
