iteration,status,pshed_lower,pshed_upper,max_delta_w,mean_delta_w,w_min,w_max,jac_max,jac_nnz,n_pshed_zero,n_pshed_total
1,LOCALLY_SOLVED,30355.775646982216,30695.224828437964,0.0,0.0,4.49999995504539,5.500000054997795,30.00356224373187,1350,0,90
2,LOCALLY_SOLVED,30695.274206142156,31034.723381361764,0.0,0.0,3.9999999150914585,6.000000114995562,30.00356048689188,1350,0,90
3,LOCALLY_SOLVED,31034.772924715155,31374.22228569231,0.0,0.0,3.499999880138226,6.500000179993303,30.00356031451622,1350,0,90
4,LOCALLY_SOLVED,31374.271558797907,31713.721020641617,0.0,0.0,2.9999998501857146,7.000000249991016,30.003560730063423,1350,0,90
5,LOCALLY_SOLVED,31713.770177691953,32053.219799544742,0.0,0.0,2.4999998252339464,7.500000324988701,30.003561248945875,1350,0,90
