iteration,status,pshed_lower,pshed_upper,max_delta_w,mean_delta_w,w_min,w_max,jac_max,jac_nnz,n_pshed_zero,n_pshed_total
1,LOCALLY_SOLVED,30355.775646982216,29836.258421363338,0.0,0.0,5.500000054394189,5.500000054974941,30.00356224373187,1350,0,90
2,LOCALLY_SOLVED,29836.279565307545,29316.76294566817,0.0,0.0,6.000000113788388,6.0000001149498825,30.00355913176769,1350,0,90
3,LOCALLY_SOLVED,29316.785221432114,28797.26902879804,0.0,0.0,6.500000178182597,6.500000179924824,30.003558716496382,1350,0,90
4,LOCALLY_SOLVED,28797.280244462643,28277.76435123711,0.0,0.0,7.000000247576819,7.0000002498997675,30.00355903825009,1350,0,90
5,LOCALLY_SOLVED,28277.801224689807,27758.285722850953,0.0,0.0,7.500000321971057,7.500000324874711,30.003560178908074,1350,0,90
