case,fair_func,period,n_feasible_samples,total_load_shed,best_mld_obj,any_ac_feasible
motivation_c,efficiency,4,5,4457.009346297196,12557.585446425957,true
motivation_c,efficiency,1,5,4172.653341067755,12428.690480008721,true
motivation_c,efficiency,5,5,4172.653341067755,12428.690480008721,true
motivation_c,efficiency,0,5,3757.559281579183,12240.53091792564,true
motivation_c,efficiency,2,5,4457.009346297196,12557.585446425957,true
motivation_c,efficiency,3,5,4558.331646877601,12603.513194080037,true
motivation_c,min_max,4,5,4457.0093469530275,12557.58425071875,true
motivation_c,min_max,1,5,4172.653341068108,12428.689151513046,true
motivation_c,min_max,5,5,4172.653341068108,12428.689151513046,true
motivation_c,min_max,0,5,3757.559281578902,12240.529348980519,true
motivation_c,min_max,2,5,4457.0093469530275,12557.58425071875,true
motivation_c,min_max,3,5,4558.33164771936,12603.512040582145,true
motivation_c,equality_min,4,5,5777.553996433309,884.499967052662,true
motivation_c,equality_min,1,5,5493.411996366026,840.9999504713508,true
motivation_c,equality_min,5,5,5493.411996366026,840.9999504713508,true
motivation_c,equality_min,0,5,5078.629996873093,777.4999712699523,true
motivation_c,equality_min,2,5,5777.553996433309,884.499967052662,true
motivation_c,equality_min,3,5,5878.799996096702,899.9999469758026,true
motivation_c,proportional,4,5,4457.009346983512,12557.585437052343,true
motivation_c,proportional,1,5,4172.653341067689,12428.690475300746,true
motivation_c,proportional,5,5,4172.653341067689,12428.690475300746,true
motivation_c,proportional,0,5,3757.5592815787904,12240.530912352779,true
motivation_c,proportional,2,5,4457.009346983512,12557.585437052343,true
motivation_c,proportional,3,5,4558.331646877609,12603.513190007967,true
motivation_c,jain,4,5,5777.553996433309,884.5001424384086,true
motivation_c,jain,1,5,5493.411996366036,841.0001283634501,true
motivation_c,jain,5,5,5493.411996366036,841.0001283634501,true
motivation_c,jain,0,5,5078.629997930004,777.5001504015863,true
motivation_c,jain,2,5,5777.553996433309,884.5001424384086,true
motivation_c,jain,3,5,5878.799996096702,900.0001214873025,true
motivation_c,palma,4,5,5777.553996441093,884.500033132625,true
motivation_c,palma,1,5,5493.41199636623,841.0000254886953,true
motivation_c,palma,5,5,5493.411996366026,841.0000266946283,true
motivation_c,palma,0,5,5078.629997930724,777.5000335670027,true
motivation_c,palma,2,5,5777.553996432627,884.500046515758,true
motivation_c,palma,3,5,5878.799996096702,900.0000268061337,true
