vscale,fair_func,total_demand,final_pshed,final_pd_served,pct_shed,pct_served,min_voltage,max_voltage,avg_voltage,objective
0.9,proportional,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,1.0911069726275913,1.0994134673137443,1.094354702081016,2038.8261065673275
0.9,efficiency,3466.0,1465.3397260784088,2000.6602739215912,42.27754547254497,57.72245452745503,1.0903152055807113,1.1000000053405163,1.0939744385418744,7167.403741875417
0.9,min_max,3466.0,1679.829166195003,1786.1708338049975,48.46593093465098,51.53406906534903,1.0944388695700673,1.1000000053731438,1.0961066655931695,14598.881555467826
0.9,equality_min,3466.0,1459.9224228364965,2006.0775771635033,42.12124705240902,57.878752947590975,1.0904790924628591,1.099103310035172,1.0939186910455214,11078.581770504981
0.9,jain,3466.0,1459.7145619993905,2006.285438000609,42.11524991342731,57.88475008657268,1.0905050385986297,1.0991114705230765,1.0939468251769733,12832.818685948758
0.95,proportional,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,1.0911069726275913,1.0994134673137443,1.094354702081016,2038.8261065673275
0.95,efficiency,3466.0,1465.3397260784088,2000.6602739215912,42.27754547254497,57.72245452745503,1.0903152055807113,1.1000000053405163,1.0939744385418744,7167.403741875417
0.95,min_max,3466.0,1679.829166195003,1786.1708338049975,48.46593093465098,51.53406906534903,1.0944388695700673,1.1000000053731438,1.0961066655931695,14598.881555467826
0.95,equality_min,3466.0,1459.9224228364965,2006.0775771635033,42.12124705240902,57.878752947590975,1.0904790924628591,1.099103310035172,1.0939186910455214,11078.581770504981
0.95,jain,3466.0,1459.7145619993905,2006.285438000609,42.11524991342731,57.88475008657268,1.0905050385986297,1.0991114705230765,1.0939468251769733,12832.818685948758
0.975,proportional,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,1.0911069726275913,1.0994134673137443,1.094354702081016,2038.8261065673275
0.975,efficiency,3466.0,1465.3397260784088,2000.6602739215912,42.27754547254497,57.72245452745503,1.0903152055807113,1.1000000053405163,1.0939744385418744,7167.403741875417
0.975,min_max,3466.0,1679.829166195003,1786.1708338049975,48.46593093465098,51.53406906534903,1.0944388695700673,1.1000000053731438,1.0961066655931695,14598.881555467826
0.975,equality_min,3466.0,1459.9224228364965,2006.0775771635033,42.12124705240902,57.878752947590975,1.0904790924628591,1.099103310035172,1.0939186910455214,11078.581770504981
0.975,jain,3466.0,1459.7145619993905,2006.285438000609,42.11524991342731,57.88475008657268,1.0905050385986297,1.0991114705230765,1.0939468251769733,12832.818685948758
1.0,proportional,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,1.0911069726275913,1.0994134673137443,1.094354702081016,2038.8261065673275
1.0,efficiency,3466.0,1465.3397260784088,2000.6602739215912,42.27754547254497,57.72245452745503,1.0903152055807113,1.1000000053405163,1.0939744385418744,7167.403741875417
1.0,min_max,3466.0,1679.829166195003,1786.1708338049975,48.46593093465098,51.53406906534903,1.0944388695700673,1.1000000053731438,1.0961066655931695,14598.881555467826
1.0,equality_min,3466.0,1459.9224228364965,2006.0775771635033,42.12124705240902,57.878752947590975,1.0904790924628591,1.099103310035172,1.0939186910455214,11078.581770504981
1.0,jain,3466.0,1459.7145619993905,2006.285438000609,42.11524991342731,57.88475008657268,1.0905050385986297,1.0991114705230765,1.0939468251769733,12832.818685948758
1.025,proportional,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,1.0911069726275913,1.0994134673137443,1.094354702081016,2038.8261065673275
1.025,efficiency,3466.0,1465.3397260784088,2000.6602739215912,42.27754547254497,57.72245452745503,1.0903152055807113,1.1000000053405163,1.0939744385418744,7167.403741875417
1.025,min_max,3466.0,1679.829166195003,1786.1708338049975,48.46593093465098,51.53406906534903,1.0944388695700673,1.1000000053731438,1.0961066655931695,14598.881555467826
1.025,equality_min,3466.0,1459.9224228364965,2006.0775771635033,42.12124705240902,57.878752947590975,1.0904790924628591,1.099103310035172,1.0939186910455214,11078.581770504981
1.025,jain,3466.0,1459.7145619993905,2006.285438000609,42.11524991342731,57.88475008657268,1.0905050385986297,1.0991114705230765,1.0939468251769733,12832.818685948758
1.05,proportional,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,1.0911069726275913,1.0994134673137443,1.094354702081016,2038.8261065673275
1.05,efficiency,3466.0,1465.3397260784088,2000.6602739215912,42.27754547254497,57.72245452745503,1.0903152055807113,1.1000000053405163,1.0939744385418744,7167.403741875417
1.05,min_max,3466.0,1679.829166195003,1786.1708338049975,48.46593093465098,51.53406906534903,1.0944388695700673,1.1000000053731438,1.0961066655931695,14598.881555467826
1.05,equality_min,3466.0,1459.9224228364965,2006.0775771635033,42.12124705240902,57.878752947590975,1.0904790924628591,1.099103310035172,1.0939186910455214,11078.581770504981
1.05,jain,3466.0,1459.7145619993905,2006.285438000609,42.11524991342731,57.88475008657268,1.0905050385986297,1.0991114705230765,1.0939468251769733,12832.818685948758
1.1,proportional,3466.0,1447.3602705408664,2018.6397294591338,41.758807574750904,58.241192425249096,1.0911069726275913,1.0994134673137443,1.094354702081016,2038.8261065673275
1.1,efficiency,3466.0,1465.3397260784088,2000.6602739215912,42.27754547254497,57.72245452745503,1.0903152055807113,1.1000000053405163,1.0939744385418744,7167.403741875417
1.1,min_max,3466.0,1679.829166195003,1786.1708338049975,48.46593093465098,51.53406906534903,1.0944388695700673,1.1000000053731438,1.0961066655931695,14598.881555467826
1.1,equality_min,3466.0,1459.9224228364965,2006.0775771635033,42.12124705240902,57.878752947590975,1.0904790924628591,1.099103310035172,1.0939186910455214,11078.581770504981
1.1,jain,3466.0,1459.7145619993905,2006.285438000609,42.11524991342731,57.88475008657268,1.0905050385986297,1.0991114705230765,1.0939468251769733,12832.818685948758
