alpha,period,lambda,load_scale,total_shed,max_shed
0.0,1,5.0,0.65,0.0,0.0
0.0,2,5.0,0.683,0.0,0.0
0.0,3,5.0,0.715,0.0,0.0
0.0,4,5.0,0.748,0.0,0.0
0.0,5,5.0,0.78,0.0,0.0
0.0,6,5.0,0.813,9.756,9.756
0.0,7,5.0,0.846,10.152,10.152
0.0,8,5.0,0.878,10.536,10.536
0.0,9,5.01,0.911,10.932,10.932
0.0,10,5.04,0.943,13.201999999999998,11.315999999999999
0.0,11,5.15,0.976,26.352,14.64
0.0,12,5.5,1.009,27.243,15.135
0.0,13,6.4,1.041,28.107,15.615
0.0,14,8.38,1.074,28.998,16.11
0.0,15,11.95,1.107,32.103,16.605
0.0,16,17.17,1.139,33.031,17.085
0.0,17,23.15,1.172,33.988,17.58
0.0,18,28.08,1.204,37.324,14.448
0.0,19,30.0,1.237,44.532000000000004,18.555
0.0,20,28.08,1.27,58.42,19.05
0.0,21,23.15,1.302,59.89200000000001,19.53
0.0,22,17.17,1.335,61.41,20.025
0.0,23,11.95,1.367,62.882000000000005,20.505
0.0,24,8.38,1.4,64.39999999999999,21.0
0.2,1,5.0,0.65,0.0,0.0
0.2,2,5.0,0.683,0.0,0.0
0.2,3,5.0,0.715,0.0,0.0
0.2,4,5.0,0.748,0.0,0.0
0.2,5,5.0,0.78,0.0,0.0
0.2,6,5.0,0.813,9.756,9.756
0.2,7,5.0,0.846,10.152,10.152
0.2,8,5.0,0.878,10.536,10.536
0.2,9,5.01,0.911,10.932,10.932
0.2,10,5.04,0.943,13.201999999999998,11.315999999999999
0.2,11,5.15,0.976,26.352,14.64
0.2,12,5.5,1.009,27.243,15.135
0.2,13,6.4,1.041,28.107,15.615
0.2,14,8.38,1.074,28.998,16.11
0.2,15,11.95,1.107,32.103,16.605
0.2,16,17.17,1.139,33.031,17.085
0.2,17,23.15,1.172,33.988,17.58
0.2,18,28.08,1.204,37.324,14.448
0.2,19,30.0,1.237,44.532000000000004,18.555
0.2,20,28.08,1.27,58.419999875207566,19.05
0.2,21,23.15,1.302,59.89200000000001,19.53
0.2,22,17.17,1.335,61.41,20.025
0.2,23,11.95,1.367,62.882000000000005,20.505
0.2,24,8.38,1.4,64.39999999999999,21.0
0.4,1,5.0,0.65,0.0,0.0
0.4,2,5.0,0.683,0.0,0.0
0.4,3,5.0,0.715,0.0,0.0
0.4,4,5.0,0.748,0.0,0.0
0.4,5,5.0,0.78,0.0,0.0
0.4,6,5.0,0.813,9.756,9.756
0.4,7,5.0,0.846,10.152,10.152
0.4,8,5.0,0.878,10.536,10.536
0.4,9,5.01,0.911,10.932,10.932
0.4,10,5.04,0.943,13.201999999999998,11.315999999999999
0.4,11,5.15,0.976,26.352,14.64
0.4,12,5.5,1.009,27.243,15.135
0.4,13,6.4,1.041,28.107,15.615
0.4,14,8.38,1.074,28.998,16.11
0.4,15,11.95,1.107,32.103,16.605
0.4,16,17.17,1.139,33.031,17.085
0.4,17,23.15,1.172,33.988,17.58
0.4,18,28.08,1.204,37.324,14.448
0.4,19,30.0,1.237,44.532000000000004,18.555
0.4,20,28.08,1.27,58.419999875207566,19.05
0.4,21,23.15,1.302,59.89200000000001,19.53
0.4,22,17.17,1.335,61.41,20.025
0.4,23,11.95,1.367,62.882000000000005,20.505
0.4,24,8.38,1.4,64.39999999999999,21.0
0.6,1,5.0,0.65,0.0,0.0
0.6,2,5.0,0.683,0.0,0.0
0.6,3,5.0,0.715,0.0,0.0
0.6,4,5.0,0.748,0.0,0.0
0.6,5,5.0,0.78,0.0,0.0
0.6,6,5.0,0.813,9.756,9.756
0.6,7,5.0,0.846,10.152,10.152
0.6,8,5.0,0.878,10.536,10.536
0.6,9,5.01,0.911,10.932,10.932
0.6,10,5.04,0.943,13.201999999999998,11.315999999999999
0.6,11,5.15,0.976,26.352,14.64
0.6,12,5.5,1.009,27.243,15.135
0.6,13,6.4,1.041,28.107,15.615
0.6,14,8.38,1.074,28.998,16.11
0.6,15,11.95,1.107,32.103,16.605
0.6,16,17.17,1.139,33.031,17.085
0.6,17,23.15,1.172,33.988,17.58
0.6,18,28.08,1.204,37.324,14.448
0.6,19,30.0,1.237,44.532000000000004,18.555
0.6,20,28.08,1.27,58.419999875207566,19.05
0.6,21,23.15,1.302,59.89199987520757,19.53
0.6,22,17.17,1.335,61.41,20.025
0.6,23,11.95,1.367,62.882000000000005,20.505
0.6,24,8.38,1.4,64.39999999999999,21.0
0.8,1,5.0,0.65,0.0,0.0
0.8,2,5.0,0.683,0.0,0.0
0.8,3,5.0,0.715,0.0,0.0
0.8,4,5.0,0.748,0.0,0.0
0.8,5,5.0,0.78,0.0,0.0
0.8,6,5.0,0.813,9.756,9.756
0.8,7,5.0,0.846,10.152,10.152
0.8,8,5.0,0.878,10.536,10.536
0.8,9,5.01,0.911,10.932,10.932
0.8,10,5.04,0.943,13.201999999999998,11.315999999999999
0.8,11,5.15,0.976,26.352,14.64
0.8,12,5.5,1.009,27.243,15.135
0.8,13,6.4,1.041,28.107,15.615
0.8,14,8.38,1.074,28.998,16.11
0.8,15,11.95,1.107,32.103,16.605
0.8,16,17.17,1.139,33.031,17.085
0.8,17,23.15,1.172,33.988,17.58
0.8,18,28.08,1.204,37.324,14.448
0.8,19,30.0,1.237,44.532000000000004,18.555
0.8,20,28.08,1.27,58.42,19.05
0.8,21,23.15,1.302,59.89200000000001,19.53
0.8,22,17.17,1.335,61.41,20.025
0.8,23,11.95,1.367,62.882000000000005,20.505
0.8,24,8.38,1.4,68.60000000000001,21.0
1.0,1,5.0,0.65,45.5,9.75
1.0,2,5.0,0.683,47.809999999999995,10.245000000000001
1.0,3,5.0,0.715,50.050000000000004,10.725
1.0,4,5.0,0.748,52.36,11.22
1.0,5,5.0,0.78,54.6,11.7
1.0,6,5.0,0.813,56.91,12.194999999999999
1.0,7,5.0,0.846,59.21999999999999,12.689999999999998
1.0,8,5.0,0.878,61.459999999999994,13.169999999999998
1.0,9,5.01,0.911,63.769999999999996,13.665
1.0,10,5.04,0.943,66.00999999999999,14.145
1.0,11,5.15,0.976,68.32000011822441,14.64
1.0,12,5.5,1.009,70.63,15.135
1.0,13,6.4,1.041,72.87,15.615
1.0,14,8.38,1.074,75.18,16.11
1.0,15,11.95,1.107,77.49,16.605
1.0,16,17.17,1.139,79.73,17.085
1.0,17,23.15,1.172,82.03999999999998,17.58
1.0,18,28.08,1.204,84.27999999999999,18.06
1.0,19,30.0,1.237,86.59000000000002,18.555
1.0,20,28.08,1.27,88.89999999999999,19.05
1.0,21,23.15,1.302,91.14,19.53
1.0,22,17.17,1.335,93.44999999999999,20.025
1.0,23,11.95,1.367,95.69000000000001,20.505
1.0,24,8.38,1.4,98.0,21.0
