stage,alpha,bus,pd_kw,served_kw,shed_kw,served_pct,shed_pct
relaxed,0.2222222222222222,loadbusd,12.0,9.794117668099048,2.2058823319009515,81.61764723415872,18.38235276584126
relaxed,0.2222222222222222,loadbuse,22.0,17.147058871686603,4.8529411283133985,77.94117668948456,22.05882331051545
relaxed,0.2222222222222222,__network_total__,70.0,55.99999993547289,14.000000064527109,79.99999990781842,20.000000092181587
relaxed,0.3333333333333333,loadbusa,19.0,14.613234139014224,4.386765860985775,76.91175862639066,23.08824137360934
relaxed,0.3333333333333333,loadbusb,2.0,1.6514707336140626,0.34852926638593745,82.57353668070313,17.42646331929687
relaxed,0.3333333333333333,loadbusc,15.0,12.79411930406604,2.2058806959339603,85.2941286937736,14.705871306226403
relaxed,0.3333333333333333,loadbusd,12.0,9.794117383386451,2.205882616613548,81.61764486155376,18.382355138446233
relaxed,0.3333333333333333,loadbuse,22.0,17.147058311370365,4.852941688629635,77.94117414259257,22.05882585740743
relaxed,0.3333333333333333,__network_total__,70.0,55.999999871451145,14.000000128548857,79.99999981635878,20.000000183641223
relaxed,0.4444444444444444,loadbusa,19.0,14.613237701633222,4.386762298366778,76.91177737701696,23.08822262298304
relaxed,0.4444444444444444,loadbusb,2.0,1.6514603986903735,0.3485396013096264,82.57301993451868,17.42698006548132
relaxed,0.4444444444444444,loadbusc,15.0,12.794109751956157,2.2058902480438443,85.29406501304105,14.705934986958962
relaxed,0.4444444444444444,loadbusd,12.0,9.794114975161783,2.205885024838217,81.61762479301485,18.38237520698514
relaxed,0.4444444444444444,loadbuse,22.0,17.147062110288783,4.852937889711217,77.94119141040356,22.058808589596442
relaxed,0.4444444444444444,__network_total__,70.0,55.99998493773032,14.000015062269684,79.99997848247187,20.00002151752812
relaxed,0.5555555555555556,loadbusa,19.0,14.613233450175613,4.3867665498243875,76.91175500092427,23.088244999075727
relaxed,0.5555555555555556,loadbusb,2.0,1.6514706324944695,0.3485293675055305,82.57353162472347,17.426468375276524
relaxed,0.5555555555555556,loadbusc,15.0,12.7941155464692,2.2058844535307993,85.294103643128,14.705896356871994
relaxed,0.5555555555555556,loadbusd,12.0,9.794115806611305,2.2058841933886955,81.61763172176087,18.38236827823913
relaxed,0.5555555555555556,loadbuse,22.0,17.147059633685473,4.852940366314526,77.94118015311578,22.05881984688421
relaxed,0.5555555555555556,__network_total__,70.0,55.99999506943606,14.00000493056394,79.99999295633724,20.00000704366277
relaxed,0.6666666666666666,loadbusa,19.0,14.612871209085899,4.3871287909141,76.90984846887315,23.090151531126843
relaxed,0.6666666666666666,loadbusb,2.0,1.651536921357445,0.34846307864255516,82.57684606787224,17.423153932127757
