stage,alpha,bus,pd_kw,served_kw,shed_kw,served_pct,shed_pct
relaxed,0.1111111111111111,loadbusc,15.0,14.448735715602595,0.5512642843974056,96.32490477068397,3.675095229316037
relaxed,0.1111111111111111,loadbusd,12.0,11.44862286007462,0.5513771399253808,95.40519050062183,4.594809499378173
relaxed,0.1111111111111111,loadbuse,22.0,20.786626932433926,1.2133730675660745,94.48466787469965,5.515332125300339
relaxed,0.1111111111111111,__network_total__,70.0,66.499996167427,3.500003832572996,94.99999452489571,5.000005475104279
relaxed,0.2222222222222222,loadbusa,19.0,17.90330864183954,1.0966913581604578,94.2279402202081,5.772059779791883
relaxed,0.2222222222222222,loadbusb,2.0,1.9128676561146292,0.08713234388537079,95.64338280573146,4.35661719426854
relaxed,0.2222222222222222,loadbusc,15.0,14.448529460934466,0.5514705390655333,96.32352973956311,3.6764702604368886
relaxed,0.2222222222222222,loadbusd,12.0,11.448529551817344,0.5514704481826559,95.4044129318112,4.5955870681888
relaxed,0.2222222222222222,loadbuse,22.0,20.78676460845204,1.2132353915479623,94.485293674782,5.514706325218011
relaxed,0.2222222222222222,__network_total__,70.0,66.49999991915801,3.50000008084198,94.99999988451145,5.000000115488543
relaxed,0.3333333333333333,loadbusa,19.0,17.903306718529517,1.0966932814704833,94.22793009752378,5.772069902476228
relaxed,0.3333333333333333,loadbusb,2.0,1.9128678089417632,0.08713219105823668,95.64339044708817,4.356609552911834
relaxed,0.3333333333333333,loadbusc,15.0,14.4485339695854,0.5514660304146,96.323559797236,3.6764402027639997
relaxed,0.3333333333333333,loadbusd,12.0,11.448528062300557,0.5514719376994419,95.4044005191713,4.595599480828683
relaxed,0.3333333333333333,loadbuse,22.0,20.786763330866485,1.2132366691335146,94.48528786757493,5.514712132425067
relaxed,0.3333333333333333,__network_total__,70.0,66.49999989022372,3.5000001097762765,94.99999984317674,5.000000156823252
relaxed,0.4444444444444444,loadbusa,19.0,17.90330821791842,1.0966917820815811,94.2279379890443,5.772062010955691
relaxed,0.4444444444444444,loadbusb,2.0,1.9128676941027334,0.08713230589726652,95.64338470513667,4.356615294863326
relaxed,0.4444444444444444,loadbusc,15.0,14.448529383843619,0.5514706161563812,96.32352922562411,3.676470774375874
relaxed,0.4444444444444444,loadbusd,12.0,11.4485293911948,0.5514706088051996,95.40441159328999,4.595588406709997
relaxed,0.4444444444444444,loadbuse,22.0,20.78676491909716,1.21323508090284,94.48529508680527,5.514704913194728
relaxed,0.4444444444444444,__network_total__,70.0,66.49999960615673,3.5000003938432687,94.99999943736677,5.00000056263324
relaxed,0.5555555555555556,loadbusa,19.0,17.903304624226283,1.0966953757737157,94.22791907487517,5.772080925124819
relaxed,0.5555555555555556,loadbusb,2.0,1.912867383429355,0.08713261657064492,95.64336917146775,4.3566308285322455
relaxed,0.5555555555555556,loadbusc,15.0,14.448530407084167,0.5514695929158326,96.32353604722779,3.6764639527722176
