stage,alpha,bus,pd_kw,served_kw,shed_kw,served_pct,shed_pct
relaxed,0.2222222222222222,loadbusd,12.0,9.794117214495062,2.205882785504938,81.61764345412551,18.382356545874483
relaxed,0.2222222222222222,loadbuse,22.0,17.147060033918702,4.852939966081298,77.94118197235774,22.05881802764226
relaxed,0.2222222222222222,__network_total__,70.0,55.99999895465615,14.00000104534385,79.99999850665164,20.00000149334836
relaxed,0.3333333333333333,loadbusa,19.0,14.613232895352205,4.386767104647794,76.91175208080108,23.088247919198917
relaxed,0.3333333333333333,loadbusb,2.0,1.6514708527484878,0.34852914725151224,82.5735426374244,17.42645736257561
relaxed,0.3333333333333333,loadbusc,15.0,12.794121243850615,2.205878756149386,85.29414162567078,14.70585837432924
relaxed,0.3333333333333333,loadbusd,12.0,9.79411733740846,2.2058826625915393,81.61764447840383,18.38235552159616
relaxed,0.3333333333333333,loadbuse,22.0,17.147057509658392,4.852942490341609,77.94117049844724,22.05882950155277
relaxed,0.3333333333333333,__network_total__,70.0,55.99999983901816,14.00000016098184,79.99999977002594,20.000000229974056
relaxed,0.4444444444444444,loadbusa,19.0,14.613234739607236,4.386765260392764,76.91176178740652,23.088238212593495
relaxed,0.4444444444444444,loadbusb,2.0,1.6514706788461373,0.3485293211538627,82.57353394230687,17.426466057693133
relaxed,0.4444444444444444,loadbusc,15.0,12.794117946800968,2.2058820531990313,85.29411964533979,14.705880354660207
relaxed,0.4444444444444444,loadbusd,12.0,9.794117666866104,2.205882333133897,81.61764722388419,18.382352776115805
relaxed,0.4444444444444444,loadbuse,22.0,17.147058831639576,4.8529411683604256,77.94117650745262,22.05882349254739
relaxed,0.4444444444444444,__network_total__,70.0,55.999999863760024,14.00000013623998,79.99999980537146,20.000000194628544
relaxed,0.5555555555555556,loadbusa,19.0,14.613066147366094,4.386933852633905,76.91087445982154,23.089125540178447
relaxed,0.5555555555555556,loadbusb,2.0,1.6515016388834338,0.34849836111656624,82.57508194417169,17.42491805582831
relaxed,0.5555555555555556,loadbusc,15.0,12.794138021783933,2.205861978216067,85.29425347855955,14.705746521440444
relaxed,0.5555555555555556,loadbusd,12.0,9.794139673552834,2.2058603264471666,81.61783061294028,18.382169387059722
relaxed,0.5555555555555556,loadbuse,22.0,17.147103764495853,4.852896235504145,77.94138074770842,22.05861925229157
relaxed,0.5555555555555556,__network_total__,70.0,55.99994924608215,14.00005075391785,79.99992749440307,20.00007250559693
relaxed,0.6666666666666666,loadbusa,19.0,14.613223079859507,4.386776920140493,76.9117004203132,23.088299579686804
relaxed,0.6666666666666666,loadbusb,2.0,1.6514728285848088,0.34852717141519124,82.57364142924044,17.42635857075956
relaxed,0.6666666666666666,loadbusc,15.0,12.794119161449192,2.2058808385508084,85.2941277429946,14.705872257005389
relaxed,0.6666666666666666,loadbusd,12.0,9.7941191664292,2.2058808335708,81.61765972024334,18.382340279756665
relaxed,0.6666666666666666,loadbuse,22.0,17.14706214804614,4.852937851953861,77.9411915820279,22.0588084179721
relaxed,0.6666666666666666,__network_total__,70.0,55.99999638436884,14.000003615631154,79.99999483481263,20.00000516518736
relaxed,0.7777777777777778,loadbusa,19.0,13.957696990306292,5.0423030096937085,73.46156310687522,26.538436893124782
relaxed,0.7777777777777778,loadbusb,2.0,1.7715367545624296,0.22846324543757043,88.57683772812149,11.423162271878521
relaxed,0.7777777777777778,loadbusc,15.0,12.876922221197654,2.123077778802346,85.84614814131768,14.153851858682307
relaxed,0.7777777777777778,loadbusd,12.0,9.876922315391848,2.1230776846081527,82.30768596159874,17.692314038401275
relaxed,0.7777777777777778,loadbuse,22.0,17.329228857942006,4.670771142057996,78.76922208155457,21.230777918445437
relaxed,0.7777777777777778,__network_total__,70.0,55.81230713940023,14.187692860599771,79.73186734200034,20.268132657999672
relaxed,0.8888888888888888,loadbusa,19.0,13.95769312268818,5.042306877311819,73.46154275099043,26.53845724900957
relaxed,0.8888888888888888,loadbusb,2.0,1.771413645270489,0.22858635472951097,88.57068226352445,11.429317736475548
relaxed,0.8888888888888888,loadbusc,15.0,12.87692293525846,2.123077064741541,85.84615290172307,14.15384709827694
relaxed,0.8888888888888888,loadbusd,12.0,9.876922966480695,2.1230770335193054,82.30769138733912,17.692308612660877
relaxed,0.8888888888888888,loadbuse,22.0,17.329230113873457,4.670769886126541,78.7692277903339,21.230772209666096
relaxed,0.8888888888888888,__network_total__,70.0,55.81218278357129,14.187817216428716,79.73168969081613,20.26831030918388
relaxed,1.0,loadbusa,19.0,13.95766301024346,5.04233698975654,73.46138426443926,26.53861573556074
relaxed,1.0,loadbusb,2.0,0.6142298354618081,1.385770164538192,30.711491773090405,69.2885082269096
relaxed,1.0,loadbusc,15.0,12.87690704204728,2.12309295795272,85.84604694698187,14.153953053018133
relaxed,1.0,loadbusd,12.0,9.876907458754092,2.1230925412459087,82.3075621562841,17.692437843715904
relaxed,1.0,loadbuse,22.0,17.329195417123774,4.670804582876227,78.76907007783534,21.230929922164666
relaxed,1.0,__network_total__,70.0,54.65490276363041,15.345097236369588,78.07843251947202,21.921567480527983
