bus_id,vm_avg,z_voltage
1,1.03,0.9778376821486205
2,1.0300000116401586,0.9777425511398883
3,1.0314331497188955,0.9999999939797065
4,1.0295115416268885,0.9774230159702737
5,1.031429917387506,0.9999999922228267
6,1.0500000052493743,1.0000000048162938
7,1.03196439071486,0.9999999822548272
8,1.0343931495095935,0.9999999921104001
9,1.0343931390669803,0.9828081774552873
10,1.0343931387536711,0.9828081712436536
11,1.030003018863883,0.9777459804712179
12,1.0314301933107888,0.9824124293899242
13,1.0336147614980555,1.0000000011129373
14,1.0319643726672743,0.9999999907004185
15,1.0314301933107581,0.9823872236318891
16,1.034393140770052,0.9828081753392774
17,1.031964378004961,0.9799898607248342
18,1.034393144392139,0.9828081805071761
