load_id,efficiency,proportional,min_max,equality_min,jain
1,1.0003208087048974,1.0099999899999998,4.043730318209035,1.0001672869814597,3.167626734466912
2,1.0023079038269185,1.0099999899999998,4.008380872602898,9.044651701406458,9.999187882931885
3,1.0001318438863205,1.0099999899999998,4.016831718452054,8.800885676408427,3.975244604149713
4,1.0002787847203816,1.0099999899999998,3.957561458490881,8.133392748038592,3.2587980095811804
5,1.0001812335623175,1.0099999899999998,4.015675786026787,7.768188771034989,9.923338990614255
6,1.0002204098718914,1.0099999899999998,4.024926879032378,9.125026323026594,1.001637471651092
7,1.0002747443010627,1.0099999899999998,4.008189262596562,8.927895978647317,1.0008288336640148
8,1.0003395028997437,1.0099999899999998,4.00190377185156,1.0001495197926278,1.0017417860133708
9,1.0004271022531617,1.0099999899999998,4.036998302494994,8.754932426619702,1.0022571251941554
10,1.0006021365965374,1.0099999899999998,4.0083231179088274,1.0002725164218729,3.3108792643133427
11,1.0004271017226176,1.0099999899999998,4.036998320011997,8.355277490924703,9.996168901055224
12,1.0004650626133407,1.0099999899999998,3.9814238292902706,9.29444736831724,9.99951997500541
13,9.999978888693589,1.0099999899999998,4.084108899881211,8.734377052436523,5.449381143237572
14,1.002855021935949,1.0099999899999998,4.014464581806488,9.999960404648007,1.0487087634006147
15,1.0003379601575264,1.0099999899999998,4.007359540042461,9.316680076029208,1.0012992390167896
