bus_id,vm_avg,z_voltage
1,1.0332132469796382,0.9821500913883109
2,1.0332132511818777,0.9821500963379114
3,1.036345217952404,0.998431853525794
4,1.0329715523300447,0.9825045603962361
5,1.036339736270081,0.9984302198256606
6,1.0453129798801175,0.9948741606406304
7,1.035568939380524,0.9848165651691673
8,1.0386264540457075,0.9900629529378426
9,1.0386264606866795,0.9900629652756456
10,1.0386264529016624,0.9900629599596653
11,1.033216652209563,0.9821540782509726
12,1.0356111819522125,0.9999989939949301
13,1.0379287517503648,0.9888712048839768
14,1.0355733709025368,0.9848212762501631
15,1.038626460641904,0.9900629652499027
16,1.0386264606866993,0.9900629630663573
