load_id,efficiency,proportional,min_max,equality_min,jain
1,1.0001837563401532,1.0099999899999998,4.0484677364119435,1.0000045589808126,3.231074050618151
2,1.0027212857121297,1.0099999899999998,4.014685481002616,9.061980802401187,9.999137537631455
3,1.0000963847599456,1.0099999899999998,3.9456800246625248,9.064023257276649,3.993486413244125
4,1.0003915981094844,1.0099999899999998,4.002910614843921,9.008736298160622,3.3360877964296183
5,1.000328013566426,1.0099999899999998,4.100207214224818,9.009899815420402,9.977983593642573
6,1.0001922377330947,1.0099999899999998,3.766783568982799,9.090622108819606,1.0012902020814505
7,1.0003357732541174,1.0099999899999998,4.1557212533362025,1.0000363810940913,1.000965040209361
8,1.0004538767658604,1.0099999899999998,3.9623663288556794,1.0000168947572072,1.001848744572151
9,1.0002522861328678,1.0099999899999998,4.040517761397729,9.185553499719733,1.00239108484506
10,1.0009579129266664,1.0099999899999998,3.9857012182078733,9.037553242087622,3.300765162355606
11,1.0002522841274073,1.0099999899999998,4.040517793175226,9.006561416769266,9.996133459124307
12,1.0007539992368075,1.0099999899999998,4.008453535473777,9.167000344399547,9.999490599810112
13,9.999866581779129,1.0099999899999998,3.8846945806558995,9.095510073904228,5.489797600382099
14,1.0025023956983952,1.0099999899999998,4.008557715506495,9.99999956771779,1.0517089767460146
15,1.0015044396575716,1.0099999899999998,4.253943336492409,9.179317538311432,1.0016012996501398
