bus_id,vm_avg,z_voltage
1,0.8796656484130733,0.7646340807235833
2,0.8796656519901792,0.7646340864543504
3,0.8865132193928579,0.7773701820133785
4,0.8794380111011799,0.7643382089387403
5,0.8865080937811145,0.777363192708499
6,0.8987704441319572,0.7949203866446454
7,0.8841657625386145,0.7718733245431045
8,0.8894889951571038,0.7805169662398943
9,0.8894890050006449,0.7805169825115496
10,0.889488998043389,0.780516971403414
11,0.8796726694457918,0.7646453278925283
12,0.8859647687857942,0.7769117550532475
13,0.8888356062866082,0.7794700111404915
14,0.8841738648977081,0.7718862052310056
15,0.8894890050006444,0.7805169820486112
16,0.8894890050006442,0.7805169820296166
