bus_id,vm_avg,z_voltage
1,0.923776868026799,0.834446845655764
2,0.9237768717841348,0.8344468514942219
3,0.932109529210603,0.8487885314374883
4,0.9233281311095388,0.834088804472649
5,0.9321060902868098,0.8487840987674903
6,0.9430907823831122,0.8635820122693385
7,0.9286812298735101,0.8419471875185378
8,0.9344175174460161,0.8509645891535111
9,0.934417527467461,0.8509646052585942
10,0.9344175215700691,0.8509645957147433
11,0.9237840929177822,0.8344580400979847
12,0.9321060937578273,0.8487841044723332
13,0.9336420134660418,0.8497916949096234
14,0.9286898278514025,0.8419602844660229
15,0.9344175274674594,0.8509646043261468
16,0.9344175274674593,0.8509646042890832
