bus_id,vm_avg,z_voltage
1,1.0298839299358329,0.9790545868619106
2,1.0298839341240107,0.9790545918018091
3,1.0358590939165213,0.9984328730218757
4,1.0297233231905358,0.9790713127865039
5,1.035853416738598,0.9984311597280983
6,1.0480180663126912,0.9978385210396788
7,1.0339773118051188,0.9842421818849986
8,1.039134204889483,0.9921620627125853
9,1.0391342144225477,0.9921620780141971
10,1.0391342045008114,0.9921620572274816
11,1.0298904104830546,0.9790622561890536
12,1.0351236872698184,0.9999999998193455
13,1.0391342186547552,0.9921620839804668
14,1.0339849087840933,0.9842504805429381
15,1.039134212508623,0.9921620685047675
16,1.0391342144229894,0.9921620767332436
