bus_id,vm_avg,z_voltage
1,0.8833708879607908,0.7706549162541251
2,0.8833708915538101,0.7706549220244814
3,0.8917299936142657,0.7854877021694592
4,0.8828992391265865,0.7701982247868777
5,0.8917262476963311,0.785482619334944
6,0.9037951718873614,0.8028866432202896
7,0.8884996270387306,0.7787675708207791
8,0.894431015747891,0.7884323136249483
9,0.8944310260723269,0.788432330568649
10,0.894431019763668,0.7884323204291988
11,0.8833784433873445,0.7706670127227271
12,0.8908773305405155,0.7847937415731566
13,0.8936210968027392,0.7871171414599778
14,0.8885083918918172,0.7787814784504895
15,0.8944310260723264,0.7884323300832285
16,0.8944310260723262,0.7884323300557733
