load_id,efficiency,proportional,equality_min,min_max,jain
1,1.0985421168952225,1.0099999899999998,1.0392305126949033,1.947352037571694,1.1008024140302908
2,1.0990341457375787,1.0099999899999998,0.9999999914919033,1.0000213827024858,1.7304863246659912
3,1.0000290685295141,1.0099999899999998,1.8343441115356667,2.0053736808911675,2.048753179738664
4,1.099163835485433,1.0099999899999998,0.9999999902091753,1.0000029899941856,2.014114387236051
5,1.0807383886020003,1.0099999899999998,1.552060464020899,1.799964037296231,1.0002810562307882
6,1.098662282007793,1.0099999899999998,1.7601048043413454,1.9555804740310352,2.0014620701413417
7,1.0987042839989203,1.0099999899999998,0.9999999904304231,1.0000381730172512,1.0017279964411943
8,1.0986992490538834,1.0099999899999998,0.9999999904356812,2.0255374158044184,1.6917398129482708
9,1.0985742080764325,1.0099999899999998,1.4872100094216525,1.9601061419408636,1.0011763730363177
10,1.098705033124433,1.0099999899999998,0.9999999907723446,1.9993886630607276,2.128170348613995
11,1.0985718925266201,1.0099999899999998,1.0392305127446382,1.9601768267359938,1.097103333497416
12,1.0991743827023253,1.0099999899999998,0.9999999903498273,1.00000500712387,2.150269522999605
13,1.2144379327586445,1.0099999899999998,2.0741333536870035,2.481938606247189,1.6917486982383751
14,1.098712122901234,1.0099999899999998,0.9999999929985116,1.6474446474124669,1.180190972012105
15,1.0019682242491392,1.0099999899999998,2.4702182948416014,1.6999594887445741,1.010770054173053
