load_id,equality_min,jain
1,1.0440311141471772,1.7536578191555834
2,0.9999999914611768,9.978469325716045
3,2.051824415120836,1.0003194740175307
4,0.9999999902048675,1.7434115410713091
5,1.7509456529949885,4.907607542962142
6,1.1633573133370934,4.370178042493383
7,0.99999999031457,1.750910430249267
8,1.0392304607217584,1.1002471185520493
9,1.8451714313626666,1.1073876397153881
10,1.0392305209070127,9.989549918463236
11,1.0944032564824422,1.6708407219552766
12,0.9999999903426234,1.103300406414906
13,1.6872098047236916,1.6793168348682952
14,6.710768536613925,1.1024248013733935
15,2.484860767068749,1.652744967041786
