bus_id,vm_avg,z_voltage
1,1.0204502232895845,0.9757861689835879
2,1.0204502348186983,0.975786185710832
3,1.026470265650376,0.9943790451343513
4,1.0197027182510883,0.9768959086572272
5,1.0264654867554996,0.9943773246955604
6,1.0500000052482414,1.0000000048150604
7,1.0245590293638116,0.9808750749549131
8,1.0294575873045184,0.9889707661014554
9,1.0294575914738473,0.9889707827633136
10,1.0294575810055304,0.9889707569414333
11,1.0204567590595641,0.975795082944859
12,1.0264657613321977,0.9943777077450165
13,1.0294575966527695,0.9889707907179298
14,1.0245590298371392,0.9808750855356063
15,1.02646576133217,0.9943777077448984
16,1.0294575897543856,0.9889707734712624
17,1.0245590318256323,0.9808750837110216
18,1.029457593451495,0.9889707810515507
