Iteration,Total_Load_Shed,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,1504.5273780230757,1504.5273780230757,1504.4375640577503
2,1504.527431106637,1504.527431106637,1504.4533600880764
3,1504.5275863067595,1504.5275863067595,1504.4421512403271
4,1504.5276061019797,1504.5276061019797,1504.46792709975
5,1504.5275857389202,1504.5275857389202,1504.4437255469736
6,1504.5278349832467,1504.5278349832467,1504.410415869147
7,1504.5294187283005,1504.5294187283005,1504.4709827292706
8,1504.5295402645627,1504.5295402645627,1504.44940556293
9,1504.5308171948532,1504.5308171948532,1504.4519893052777
10,1504.5318380379824,1504.5318380379824,1504.4832880829595
